campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20001833_1,,,0.1,
WOW20001833_1,,,6.3,
WOW20001833_1,,,2688.5,
WOW20001833_1,1003.0,4308.0,2.2,51.861805615971065
WOW20001833_1,1030.0,1336.0,-4.8,-62.550159460121826
WOW20001833_1,1056.0,3340.0,5.5,129.66186671950774
WOW20001833_1,1063.0,3181.0,-5.5,-70.73793316542728
WOW20001833_1,1069.0,5682.0,1.4,31.914299103447092
WOW20001833_1,1088.0,1313.0,-0.8,-18.190682798012972
WOW20001833_1,1133.0,2300.0,-2.9,-66.25774975259156
WOW20001833_1,1315.0,2522.0,-0.5,-9.256852208777353
WOW20001833_1,1375.0,1495.0,-0.4,-9.064652202085997
WOW20001833_1,1410.0,3369.0,-1.0,-20.508221076366993
WOW20001833_1,1572.0,1269.0,-0.1,-1.6919951330320544
WOW20001833_1,1621.0,3136.0,-2.2,-37.51117453169338
WOW20001833_1,1674.0,1401.0,-23.0,-243.5741701168337
WOW20001833_1,1680.0,3366.0,3.2,76.07369290994248
WOW20001833_1,2003.0,2159.0,-0.4,26.471815047207752
WOW20001833_1,2078.0,1273.0,4.6,109.26423193655037
WOW20001833_1,2137.0,4337.0,1.9,43.73462655049051
WOW20001833_1,2509.0,1369.0,1.6,39.307931201301464
WOW20001833_1,2517.0,2055.0,3.6,86.5252940897576
WOW20001833_1,2518.0,4384.0,2.8,66.02398900537793
WOW20001833_1,2519.0,4343.0,3.7,87.75084799495232
WOW20001833_1,2539.0,2635.0,-0.2,-3.210409062861915
WOW20001833_1,2566.0,4604.0,2.5,60.22937828585459
WOW20001833_1,2571.0,1034.0,-0.7,-14.915630784848785
WOW20001833_1,2582.0,3282.0,-1.0,-23.97402372972362
WOW20001833_1,2606.0,1317.0,-1.4,-25.787084465283687
WOW20001833_1,2609.0,2614.0,0.6,14.663008000266482
WOW20001833_1,2612.0,3384.0,9.2,202.13253054606915
WOW20001833_1,2621.0,1434.0,-7.6,-50.08968556658654
WOW20001833_1,2638.0,2597.0,1.5,36.236039201214666
WOW20001833_1,2642.0,7207.0,4.7,111.46132572842585
WOW20001833_1,2657.0,1178.0,1.2,28.462792163371486
WOW20001833_1,2710.0,4301.0,-16.9,-349.1136876809574
WOW20001833_1,2715.0,5600.0,1.9,44.75950773750825
WOW20001833_1,2764.0,5731.0,1.5,33.896852338333346
WOW20001833_1,2765.0,1213.0,0.2,5.533430935203625
WOW20001833_1,2766.0,7011.0,0.5,10.206363237834626
WOW20001833_1,2859.0,3779.0,2.8,66.16378126293596
WOW20001833_1,2864.0,4302.0,-0.1,0.1385968197491684
WOW20001833_1,2939.0,1625.0,2.3,53.312605288867786
WOW20001833_1,3072.0,2079.0,0.3,11.418051206016845
WOW20001833_1,3104.0,2340.0,0.7,19.455574184293926
WOW20001833_1,3130.0,2763.0,-13.6,-135.73845361873765
WOW20001833_1,3174.0,3186.0,0.1,2.691058888016694
WOW20001833_1,3175.0,3809.0,-0.4,-9.573306235731579
WOW20001833_1,3189.0,2652.0,-193.2,-641.0642379113953
WOW20001833_1,3219.0,3112.0,-1.2,-24.92779291762724
WOW20001833_1,3272.0,1105.0,-2.2,-49.45892647022417
WOW20001833_1,3301.0,7222.0,1.3,29.67235974146803
WOW20001833_1,3329.0,1681.0,-142.5,-718.2760592225948
WOW20001833_1,3332.0,2685.0,-1.4,-20.682653391599786
WOW20001833_1,3335.0,7214.0,-3.3,-50.62605933983703
WOW20001833_1,3339.0,1470.0,-3.8,-82.32228017214133
WOW20001833_1,3345.0,2668.0,-3.1,-67.25270349894862
WOW20001833_1,3364.0,1770.0,-33.5,-268.56862251812885
WOW20001833_1,3390.0,3058.0,1.1,26.726904640454052
WOW20001833_1,3494.0,5691.0,-37.9,-200.76374055666187
WOW20001833_1,3565.0,2883.0,-0.4,-7.92944859966545
WOW20001833_1,3567.0,2695.0,-3.3,-32.847044872505876
WOW20001833_1,3813.0,4304.0,-75.5,-842.2012667203164
WOW20001833_1,3940.0,2442.0,-7.9,-147.59079925232282
WOW20001833_1,4155.0,2595.0,-5.8,-113.47777810170786
WOW20001833_1,4303.0,3182.0,-1.0,-14.791514294784763
WOW20001833_1,4313.0,5632.0,1.5,35.79691463239328
WOW20001833_1,4317.0,1304.0,-0.2,-4.769456011035471
WOW20001833_1,4320.0,1350.0,-1.1,-26.761439527580755
WOW20001833_1,4340.0,1145.0,-1.0,-21.191162117552803
WOW20001833_1,4350.0,4170.0,-0.2,-4.640366409417033
WOW20001833_1,4364.0,5603.0,0.1,1.147598469085344
WOW20001833_1,4391.0,5623.0,-1.6,-34.751579432244704
WOW20001833_1,4416.0,4857.0,0.2,4.611352347448718
WOW20001833_1,4630.0,3250.0,1.0,21.571701536652366
WOW20001833_1,4703.0,3324.0,-0.1,-4.083058988225254
WOW20001833_1,5088.0,4338.0,1.3,27.95300095221952
WOW20001833_1,5547.0,2697.0,-19.4,-24.79601883038787
WOW20001833_1,5602.0,1400.0,-1.6,-37.45264479511955
WOW20001833_1,5631.0,3321.0,-0.2,-6.586203345703632
WOW20001833_1,5636.0,5003.0,2.3,55.251867197573766
WOW20001833_1,5702.0,1961.0,-1.2,-27.1973206941924
WOW20001833_1,7002.0,3222.0,-1.2,-27.64118326791586
WOW20001833_1,7018.0,2676.0,1.0,26.401899744613782
WOW20001833_1,7210.0,2620.0,-22.9,-169.34270990902655
