campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20014359_1,,,3.8,
WOW20014359_1,,,5.5,
WOW20014359_1,,,145.2,
WOW20014359_1,1030.0,2654.0,-2.1,
WOW20014359_1,1073.0,5685.0,144.1,
WOW20014359_1,1112.0,3299.0,140.0,
WOW20014359_1,1120.0,3343.0,3.3,
WOW20014359_1,1131.0,4337.0,-20.6,
WOW20014359_1,1134.0,1133.0,-29.8,
WOW20014359_1,1139.0,4386.0,-22.0,
WOW20014359_1,1140.0,3160.0,-13.3,
WOW20014359_1,1143.0,2667.0,62.9,
WOW20014359_1,1147.0,2645.0,-21.5,
WOW20014359_1,1154.0,3331.0,-35.6,
WOW20014359_1,1163.0,7012.0,-6.1,
WOW20014359_1,1180.0,1621.0,19.2,
WOW20014359_1,1183.0,1162.0,-11.6,
WOW20014359_1,1205.0,2596.0,7.7,
WOW20014359_1,1209.0,3923.0,-31.7,
WOW20014359_1,1250.0,4686.0,41.3,
WOW20014359_1,1258.0,4703.0,-5.3,
WOW20014359_1,1262.0,2711.0,-14.3,
WOW20014359_1,1269.0,1288.0,55.4,
WOW20014359_1,1279.0,5610.0,30.1,
WOW20014359_1,1325.0,1132.0,-16.6,
WOW20014359_1,1328.0,3058.0,31.7,
WOW20014359_1,1346.0,3177.0,-7.1,
WOW20014359_1,1368.0,2710.0,19.5,
WOW20014359_1,1407.0,2630.0,1.9,
WOW20014359_1,1557.0,3136.0,-23.7,
WOW20014359_1,1572.0,3280.0,-16.9,
WOW20014359_1,1598.0,1335.0,29.4,
WOW20014359_1,1607.0,2564.0,55.8,
WOW20014359_1,1634.0,1252.0,51.1,
WOW20014359_1,1643.0,4345.0,17.7,
WOW20014359_1,1759.0,2611.0,-57.2,
WOW20014359_1,1942.0,1685.0,-22.9,
WOW20014359_1,2055.0,2887.0,6.3,
WOW20014359_1,2190.0,2682.0,-37.4,
WOW20014359_1,2426.0,3336.0,110.1,
WOW20014359_1,2517.0,1753.0,122.7,
WOW20014359_1,2537.0,4364.0,-46.8,
WOW20014359_1,2538.0,3168.0,41.7,
WOW20014359_1,2565.0,5610.0,46.4,
WOW20014359_1,2575.0,4431.0,22.5,
WOW20014359_1,2586.0,4392.0,39.5,
WOW20014359_1,2587.0,1102.0,-6.4,
WOW20014359_1,2589.0,1178.0,4.1,
WOW20014359_1,2605.0,1307.0,0.7,
WOW20014359_1,2606.0,3216.0,-2.9,
WOW20014359_1,2629.0,1286.0,4.7,
WOW20014359_1,2634.0,1103.0,-13.6,
WOW20014359_1,2640.0,5702.0,118.0,
WOW20014359_1,2652.0,2648.0,-9.7,
WOW20014359_1,2660.0,1174.0,41.6,
WOW20014359_1,2663.0,5668.0,-18.4,
WOW20014359_1,2666.0,2140.0,66.4,
WOW20014359_1,2669.0,1409.0,27.1,
WOW20014359_1,2749.0,2941.0,11.2,
WOW20014359_1,2765.0,3337.0,75.9,
WOW20014359_1,2767.0,3129.0,-49.0,
WOW20014359_1,2785.0,2514.0,-47.9,
WOW20014359_1,2797.0,1579.0,-14.4,
WOW20014359_1,2829.0,5687.0,-18.9,
WOW20014359_1,2864.0,5649.0,9.6,
WOW20014359_1,3063.0,3332.0,198.4,
WOW20014359_1,3096.0,3368.0,231.0,
WOW20014359_1,3112.0,2555.0,18.5,
WOW20014359_1,3144.0,2705.0,46.9,
WOW20014359_1,3181.0,1259.0,257.4,
WOW20014359_1,3186.0,3109.0,79.3,
WOW20014359_1,3187.0,1253.0,-38.1,
WOW20014359_1,3235.0,2859.0,-54.6,
WOW20014359_1,3247.0,3299.0,31.7,
WOW20014359_1,3248.0,2079.0,-21.8,
WOW20014359_1,3260.0,3672.0,-8.5,
WOW20014359_1,3261.0,3191.0,2.6,
WOW20014359_1,3302.0,1172.0,28.9,
WOW20014359_1,3355.0,5664.0,-3.8,
WOW20014359_1,3357.0,4326.0,102.1,
WOW20014359_1,3968.0,7222.0,189.1,
WOW20014359_1,4049.0,2750.0,-17.5,
WOW20014359_1,4308.0,1402.0,33.5,
WOW20014359_1,4324.0,4390.0,-13.5,
WOW20014359_1,4330.0,2540.0,-21.8,
WOW20014359_1,4350.0,1327.0,-28.9,
WOW20014359_1,4357.0,1470.0,97.3,
WOW20014359_1,4393.0,4342.0,-11.0,
WOW20014359_1,4397.0,4319.0,10.1,
WOW20014359_1,5088.0,2135.0,12.2,
WOW20014359_1,5518.0,5676.0,75.7,
WOW20014359_1,5547.0,1766.0,79.0,
WOW20014359_1,5606.0,1674.0,6.4,
WOW20014359_1,5635.0,2664.0,-29.4,
WOW20014359_1,5659.0,3317.0,3.7,
WOW20014359_1,5662.0,5621.0,-20.3,
WOW20014359_1,5680.0,3304.0,37.2,
WOW20014359_1,5682.0,5622.0,43.7,
WOW20014359_1,5686.0,1261.0,11.5,
WOW20014359_1,5691.0,3259.0,25.9,
WOW20014359_1,5736.0,5619.0,27.3,
WOW20014359_1,7001.0,3127.0,-9.9,
WOW20014359_1,7003.0,3240.0,47.2,
WOW20014359_1,7008.0,2824.0,13.1,
WOW20014359_1,7211.0,2508.0,-4.9,
