campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20000487_1,,,0.8,
WOW20000487_1,,,39.9,
WOW20000487_1,,,22849.5,
WOW20000487_1,1065.0,2657.0,-0.8,-69.2995795433847
WOW20000487_1,1069.0,4855.0,120.4,941.032201547816
WOW20000487_1,1085.0,1120.0,0.8,-12.382458301972147
WOW20000487_1,1088.0,1184.0,1.4,42.44392514441585
WOW20000487_1,1102.0,3205.0,7.1,221.13692741170374
WOW20000487_1,1112.0,1008.0,0.4,-10.300603187151221
WOW20000487_1,1117.0,1180.0,0.0,-9.156537391511891
WOW20000487_1,1121.0,1137.0,1.3,14.416038630440864
WOW20000487_1,1124.0,3341.0,7.7,304.815432497843
WOW20000487_1,1140.0,7011.0,3.3,88.92900427621568
WOW20000487_1,1148.0,1310.0,5.0,174.74488930504074
WOW20000487_1,1154.0,1030.0,1.2,6.442283910474321
WOW20000487_1,1164.0,1157.0,5.9,210.54846923253078
WOW20000487_1,1171.0,1280.0,0.6,-15.571996588120655
WOW20000487_1,1172.0,1368.0,271.0,2087.2403508045077
WOW20000487_1,1178.0,2665.0,1.3,-6.026285482931967
WOW20000487_1,1179.0,1759.0,2.8,90.20231635420245
WOW20000487_1,1189.0,1997.0,3.9,134.79283016738572
WOW20000487_1,1190.0,3174.0,32.3,841.4269293188513
WOW20000487_1,1192.0,1099.0,4.3,188.92402128701306
WOW20000487_1,1197.0,1261.0,3.8,110.19842106530196
WOW20000487_1,1203.0,1934.0,0.2,-37.751418999636535
WOW20000487_1,1207.0,3275.0,1.1,27.513248810010438
WOW20000487_1,1208.0,1347.0,1.5,-0.03551854179193096
WOW20000487_1,1209.0,3203.0,1.3,21.86641589381005
WOW20000487_1,1210.0,1161.0,648.0,2299.8882477371258
WOW20000487_1,1269.0,1258.0,1.6,15.605257807139294
WOW20000487_1,1275.0,3393.0,4.0,113.92092564280645
WOW20000487_1,1278.0,2636.0,1.5,42.08549768512931
WOW20000487_1,1282.0,2586.0,1.5,28.173158415949125
WOW20000487_1,1287.0,3173.0,11.2,354.43325014628334
WOW20000487_1,1302.0,1110.0,1.1,-7.9910206280577265
WOW20000487_1,1316.0,1409.0,4.0,106.10279428068532
WOW20000487_1,1327.0,1226.0,2.1,58.34842648508756
WOW20000487_1,1328.0,1757.0,1.2,24.650781238606527
WOW20000487_1,1387.0,1313.0,4.8,145.35344450904032
WOW20000487_1,1388.0,4361.0,1.1,25.846678679683922
WOW20000487_1,1392.0,2507.0,0.6,-9.138133277887627
WOW20000487_1,1402.0,1129.0,-0.1,-30.714417524222316
WOW20000487_1,1412.0,3145.0,1.3,10.337928625548972
WOW20000487_1,1572.0,1104.0,11.2,333.34474964800495
WOW20000487_1,1603.0,7217.0,0.0,-14.1599316578347
WOW20000487_1,1633.0,1380.0,0.3,-2.6842211312941777
WOW20000487_1,1645.0,2625.0,3.9,94.46479760917829
WOW20000487_1,1767.0,3268.0,5.4,208.06555503674846
WOW20000487_1,1785.0,3289.0,-0.4,-35.82560906833852
WOW20000487_1,1942.0,2697.0,1.6,27.611640459703047
WOW20000487_1,2300.0,1574.0,1.4,27.674528579114856
WOW20000487_1,2506.0,1331.0,6.3,213.32637855600453
WOW20000487_1,2548.0,4327.0,7.4,229.8162806904974
WOW20000487_1,2559.0,1436.0,4.7,125.67666902653865
WOW20000487_1,2561.0,1364.0,21.2,578.3600774035472
WOW20000487_1,2564.0,1150.0,2.0,10.175644882641777
WOW20000487_1,2587.0,5018.0,17.0,532.7178194093244
WOW20000487_1,2624.0,3129.0,4.4,144.22936087596779
WOW20000487_1,2631.0,1358.0,2.6,102.77626981666353
WOW20000487_1,2655.0,1122.0,1.3,17.611770618831613
WOW20000487_1,2661.0,3187.0,195.2,2037.9400945261063
WOW20000487_1,2700.0,4308.0,2.5,50.34031376378966
WOW20000487_1,2765.0,1495.0,2.3,73.62835837087731
WOW20000487_1,2843.0,4170.0,1.2,2.5718621330189313
WOW20000487_1,3066.0,2590.0,1.2,20.292331398231337
WOW20000487_1,3074.0,3214.0,38.7,610.063747762967
WOW20000487_1,3100.0,7010.0,0.3,-14.337608452422321
WOW20000487_1,3105.0,2072.0,0.1,-20.840709918282315
WOW20000487_1,3114.0,1272.0,5.4,175.75710727247224
WOW20000487_1,3119.0,1177.0,-0.9,-62.85696140585062
WOW20000487_1,3142.0,5945.0,6.9,217.77229396238974
WOW20000487_1,3143.0,1643.0,1.3,15.488304004259373
WOW20000487_1,3165.0,1958.0,4.6,161.53088469524621
WOW20000487_1,3172.0,1183.0,-0.2,-59.23786216416875
WOW20000487_1,3183.0,1252.0,-3.5,-194.44865270401047
WOW20000487_1,3191.0,1932.0,3151.8,433.9941447078257
WOW20000487_1,3213.0,2635.0,0.1,-47.57437117747123
WOW20000487_1,3218.0,2513.0,-0.3,-45.41091158361007
WOW20000487_1,3247.0,1138.0,1.2,15.162721800951257
WOW20000487_1,3263.0,3112.0,0.8,-9.85145379623998
WOW20000487_1,3272.0,2674.0,-0.6,-49.65271570794843
WOW20000487_1,3279.0,5630.0,1.3,12.02352957329003
WOW20000487_1,3286.0,1323.0,0.3,-29.079413277492794
WOW20000487_1,3287.0,3148.0,0.3,-8.992261458281655
WOW20000487_1,3299.0,3123.0,4.9,163.96558145401033
WOW20000487_1,3302.0,1147.0,1.1,1.0345655489576078
WOW20000487_1,3337.0,1479.0,5.2,156.00816072266105
WOW20000487_1,3352.0,2633.0,1.3,-8.832463788389699
WOW20000487_1,3381.0,3266.0,0.3,-29.913233898248805
WOW20000487_1,3399.0,1061.0,2.3,49.97779347226985
WOW20000487_1,3923.0,1294.0,-1.0,-83.83271487022728
WOW20000487_1,3996.0,3321.0,0.3,1.0452110226261153
WOW20000487_1,4391.0,1375.0,1.8,60.58774519850332
WOW20000487_1,4393.0,1073.0,2.1,45.16405220274494
WOW20000487_1,4395.0,3809.0,9.3,251.04581630280856
WOW20000487_1,4418.0,3179.0,5.5,186.9275054675952
WOW20000487_1,5610.0,1228.0,0.0,-44.54181937117243
WOW20000487_1,5634.0,4383.0,-1.3,-70.86935270146168
WOW20000487_1,7005.0,1350.0,1.0,-1.9432849895107618
WOW20000487_1,7012.0,4340.0,2.6,89.3441203417688
WOW20000487_1,7014.0,1941.0,1.3,20.219209037444465
WOW20000487_1,7018.0,1251.0,6.1,226.67966361302274
WOW20000487_1,7202.0,1625.0,3.3,99.18130047320389
WOW20000487_1,7203.0,1092.0,43.1,731.9167638435906
WOW20000487_1,7211.0,1175.0,2.4,62.05241527325551
WOW20000487_1,7215.0,1561.0,0.8,2.460319716687622
WOW20000487_1,7223.0,1758.0,2.2,74.7696976715762
